Thành phần chính của phở là gì	Nó cũng là một thành phần được sử dụng trong nấu nước dùng cho món phở của người Việt Nam .	false
Núi Bà đen cao bao nhiêu	Khu vực đồi núi chủ yếu tập trung ở phía đông nam Bộ như núi Bà Rá (Bình Phước) cao 736 m, núi Chứa Chan (Đồng Nai) cao 839 m, núi Bao Quan (Bà Rịa - Vũng Tàu) cao 529 m, núi Thị Vải (Bà Rịa - Vũng Tàu) cao 461 m, núi Bà Đen (Tây Ninh) cao 986 m... Khu vực phía tây có dãy Thất Sơn (An Giang) và dãy Hàm Ninh (Kiên Giang).	true
Trung tâm hành chính của tỉnh Nghệ An là thành phố nào	Nghệ An là tỉnh có diện tích lớn nhất Việt Nam thuộc vùng Bắc Trung Bộ . Trung tâm hành chính của tỉnh là thành phố Vinh , nằm cách thủ đô Hà Nội 291 km về phía nam .. Trước đây , Nghệ An cùng với Hà Tĩnh có cùng một tên chung là Hoan Châu ( trước đời Nhà Lý ) , Nghệ An châu ( đời Nhà Lý , Trần ) , xứ Nghệ ( năm 1490 , đời vua Lê Thánh Tông ) , rồi trấn Nghệ An .	true
Cuộc khởi nghĩa Hương Khê do ai cầm đầu	Khởi nghĩa Hương Khê do Phan Đình Phùng lãnh đạo là cuộc khởi nghĩa có quy mô lớn nhất và kéo dài nhất trong phong trào Cần Vương cuối thế kỷ 19. Cuộc khởi nghĩa đã phát huy được tinh thần đoàn kết, sự ủng hộ của người dân ở miền xuôi lẫn miền ngược, cả về sức lực lẫn của cải vật chất.	true
Loại đồ ăn nổi tiếng nào trong đêm Giáng sinh bắt nguồn từ Anh	Một món ăn Pháp điển hình vào Giáng Sinh là gà tây với hạt dẻ. Một số món phổ biến khác là: cá hồi xông khói, hàu, trứng cá tẩm muối và "gan béo". Yule log là một món rất truyền thống của Pháp vào Giáng Sinh. Bánh sô cô la có một vị trí quan trọng vào Giáng Sinh ở Pháp. Ẩm thực này thường đi cùng với sâm panh, thường là đồ uống Pháp. Truyền thống nói rằng mười ba món tráng miệng làm hoàn chỉnh một bữa ăn Giáng Sinh giống như mười hai sứ đồ và Giê-su. Những món tráng miệng này bao gồm hầu hết các loại hoa quả và đồ ngọt ở Pháp.	false
Tác phẩm đường kách mệnh ra đời khi nào	Tựa đề "Tấn trò đời" được Balzac đặt theo tên tác phẩm Vở kịch thần thánh ("Divina commedia") của Dante Alighieri (1265-1321). Balzac muốn cho thấy ý định của ông khi viết các tác phẩm trong "Tấn trò đời": tả về cái địa ngục ngay giữa xã hội con người. Nhà văn có đụng ý chọn cái tên đối lập với tên tác phẩm nổi tiếng của Dante có thiên đường và địa ngục.	false
Ai sáng tác ra bài hát "Tiến Quân Ca	Single "X.O.X" của ông đặc trưng chung ai cũng đồng sáng tác bài hát.	false
Tác giả của tiểu thuyết yêu em từ cái nhìn đầu tiên là ai	Yêu em từ cái nhìn đầu tiên là bộ phim được chuyển thể từ cuốn tiểu thuyết cùng tên của nhà văn Cố Mạn và do Lâm Ngọc Phân làm đạo diễn với sự tham gia của các diễn viên Dương Dương , Trịnh Sảng , Mao Hiểu Đồng ...	true
Thủ đô của Myanmar là gì	Ngày 27 tháng 3 năm 2006 , hội đồng quân sự đã di chuyển thủ đô đất nước từ Yangon tới một địa điểm gần Pyinmana , đặt tên chính thức cho nó là Naypyidaw , có nghĩa " vùng đất của những ông vua " . Năm 2010 , quốc hiệu của Myanmar đổi thành Cộng hoà Liên bang Myanmar ( tiếng Myanmar : ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော် , tiếng Anh : " Republic of the Union of Myanmar " ) .	true
Hồ Gươm ở đâu	Do vậy , nhiều văn nghệ sĩ đã lấy hình ảnh Hồ Gươm làm nền tảng cho các tác phẩm của mình .	false
Đảng Cộng sản Việt Nam đã trải qua bao nhiêu kỳ đại hội	Đến nay hội đã trải qua 7 kì đại hội, từ đó bầu nên Ban chấp hành và Ban thư ký của hội.	false
Đại hội 12 của Đảng cộng sản Việt Nam diễn ra ngày tháng năm nào	Đại hội Đảng Cộng sản Việt Nam lần thứ IX hay Đại hội đại biểu toàn quốc lần thứ IX của Đảng Cộng sản Việt Nam diễn ra từ ngày 19 đến ngày 22-4-2001 ở Hà Nội. Tham dự đại hội có tất cả là 1.168 đại biểu chính thức thay mặt cho 2.479.719 đảng viên cả nước.	false
Sông nào có lưu lượng nước lớn nhất thế giới	Sông Nin bắt nguồn từ hồ Victoria ở khu vực xích đạo có mưa quanh năm nên lượng mưa khá lớn. Tới Khác-tum sông Nin nhận thêm nước từ phụ lưu Nin Xanh ở khu vực cận xích đạo, lưu lượng trở nên rất lớn, mùa nước lũ lên tới 90 000 m3/s; đến biên giới Ai Cập mặc dù sông Nin chảy giữa miền hoang mạc và không nhận được thêm phụ lưu nào nữa, nước sông vừa ngấm xuống đất, vừa bốc hơi mạnh, gần biển lưu lượng nước giảm nhiều nhưng ở Cai-rô (Ai Cập) về mùa cạn lưu lượng vẫn còn 700 m3/s.	false
Bắc Giang có gì được UNESCO công nhận	Bắc Giang chiếm phần lớn diện tích của vùng Kinh Bắc xưa và có nền văn hoá phong phú , đặc trưng của Kinh Bắc , là cái nôi của Dân ca Quan họ với 23 làng quan họ cổ được UNESCO công nhận .	true
Mai Hắc Đế là ai	Mai Hắc Đế (chữ Hán: 梅黑帝; ?–722), tên thật là Mai Thúc Loan (梅叔鸞) là vị vua người Việt thời Bắc thuộc, anh hùng dân tộc, người lãnh đạo cuộc khởi nghĩa chống lại sự chiếm đóng của nhà Đường ở Việt Nam vào đầu thế kỉ thứ 8.	true
Ai chỉ huy quân Tống xâm lược nước ta năm 1076-1077	Năm Bính Thìn (1076), nhà Tống cử Quách Quỳ, Triệu Tiết đem đại binh sang xâm lược Đại Việt. Quân đội nhà Lý dưới sự chỉ huy của Phụ quốc thái úy Lý Thường Kiệt đã đánh bại được đội quân nhà Tống tại trận tuyến trên sông Như Nguyệt. Năm 1077, Quách Quỳ chấp nhận cho Đại Việt giảng hòa và rút quân trở về.	true
Cuba độc lập từ năm nào	Ông tuyên bố Cuba trở thành một nước Cộng hoà độc lập — Martí bị giết hại tại Dos Rios ngay sau khi đặt chân tới Cuba cùng lực lượng viễn chinh phía đông . Cái chết đã khiến ông trở thành bất tử và được coi là một anh hùng quốc gia Cuba .	false
Bùi Công Duy là nghệ sĩ nổi tiếng với loại nhạc cụ nào	Chân dung Ca sĩ Bùi Duy Lan Hương Một bức ảnh mới về Bùi Duy Lan Hương- Ca sĩ nổi tiếng Hồ Chí Minh- Việt Nam Ca sĩ Bùi Duy Lan Hương cùng nhạc sĩ Thanh Bùi	false
Ai là người đầu tiên đặt chân lên mặt trăng	Ông là người thứ hai đặt chân lên mặt trăng, nghĩa là đi theo bước chân của Neil Armstrong, người đầu tiên đặt chân lên mặt trăng.	true
Hàn Quốc thuộc khu vực nào	Hàn Quốc (Tiếng Triều Tiên: 한국/ 韓國/ Hanguk), tên chính thức là Đại Hàn Dân Quốc (Tiếng Triều Tiên: 대한민국/ 大韓民國/ Daehan Minguk; Tiếng Anh: Republic of Korea – Korea Republic), hay còn được gọi bằng các tên gọi khác như là Đại Hàn, Nam Hàn, Nam Triều Tiên hoặc Cộng hòa Triều Tiên, là một quốc gia có chủ quyền thuộc khu vực Đông Á, nằm trên nửa phía nam của bán đảo Triều Tiên.	true
